timestamp,ticker,title,status,market_type,event_start_time,yes_bid,yes_ask,no_bid,no_ask,liquidity_dollars,volume_24h,odds_home_team,odds_away_team,odds_start_time,odds_market_type,odds_team,odds_price,odds_point,odds_last_fetch_time
2026-01-14T18:28:18.016894-05:00,KXNCAAMBTOTAL-26JAN14SCUSCHSO-151,USC Upstate at Charleston Southern: Total Points,active,binary,,0.52,0.7,0.3,0.48,9285.88,0.0,,,,,,,,
2026-01-14T18:28:18.016894-05:00,KXNCAAMBTOTAL-26JAN14ARMYHC-144,Army at Holy Cross: Total Points,active,binary,,0.89,0.94,0.06,0.11,1534095.18,6188.0,,,,,,,,
2026-01-14T18:28:18.016894-05:00,KXNCAAMBTOTAL-26JAN14ARMYHC-141,Army at Holy Cross: Total Points,active,binary,,0.82,0.94,0.06,0.18,1560595.85,1867.0,,,,,,,,
2026-01-14T18:28:18.016894-05:00,KXNCAAMBTOTAL-26JAN14ARMYHC-138,Army at Holy Cross: Total Points,active,binary,,0.8,1.0,0.0,0.2,1614981.81,588.0,,,,,,,,
2026-01-14T18:28:18.016894-05:00,KXNCAAMBTOTAL-26JAN14COLGLMD-153,Colgate at Loyola Maryland: Total Points,active,binary,,0.32,0.53,0.47,0.68,7370.32,0.0,,,,,,,,
2026-01-14T18:28:18.016894-05:00,KXNCAAMBTOTAL-26JAN14COLGLMD-150,Colgate at Loyola Maryland: Total Points,active,binary,,0.5,0.53,0.47,0.5,11122.89,276.0,,,,,,,,
2026-01-14T18:28:18.016894-05:00,KXNCAAMBTOTAL-26JAN14COLGLMD-147,Colgate at Loyola Maryland: Total Points,active,binary,,0.5,0.69,0.31,0.5,6276.58,35.0,,,,,,,,
2026-01-14T18:28:18.016894-05:00,KXNCAAMBTOTAL-26JAN14HPWIN-167,High Point at Winthrop: Total Points,active,binary,,0.33,0.49,0.51,0.67,8797.45,0.0,,,,,,,,
2026-01-14T18:28:18.016894-05:00,KXNCAAMBTOTAL-26JAN14HPWIN-164,High Point at Winthrop: Total Points,active,binary,,0.45,0.48,0.52,0.55,11176.73,1322.0,,,,,,,,
2026-01-14T18:28:18.016894-05:00,KXNCAAMBTOTAL-26JAN14HPWIN-161,High Point at Winthrop: Total Points,active,binary,,0.55,0.56,0.44,0.45,33982.49,26051.0,,,,,,,,
