ts,ticker,intent_id,side,price,count,reason,fair_yes,edge,spread,yes_bid,yes_ask,no_bid,no_ask
2025-11-08T05:03:04.478870Z,KXEPLGAME-25NOV22BRIBRE-TIE,9376e1cd-5c1d-4189-8297-e42c096e627f,yes,0.01,2,buy_yes_cross edge=0.49,0.5,0.49,-0.98,0.99,0.01,0.99,0.01
2025-11-08T05:03:04.479078Z,KXEPLGAME-25NOV22BRIBRE-TIE,76b3cbb0-1123-4439-a09d-3bb04dda1af9,no,0.01,2,sell_yes_cross edge=0.49,0.5,0.49,-0.98,0.99,0.01,0.99,0.01
2025-11-08T05:03:04.606752Z,KXEPLGAME-25NOV22BURCFC-BUR,3a61a94c-ff76-47b5-b7d2-e9375049e162,yes,0.01,2,buy_yes_cross edge=0.49,0.5,0.49,-0.98,0.99,0.01,0.99,0.01
2025-11-08T05:03:04.606982Z,KXEPLGAME-25NOV22BURCFC-BUR,c55da4a2-1024-4b30-a34b-f19af0149488,no,0.01,2,sell_yes_cross edge=0.49,0.5,0.49,-0.98,0.99,0.01,0.99,0.01
2025-11-08T05:03:04.778897Z,KXEPLGAME-25NOV22BURCFC-CFC,e716e690-6589-4381-af29-8c01920cd605,yes,0.01,2,buy_yes_cross edge=0.49,0.5,0.49,-0.98,0.99,0.01,0.99,0.01
2025-11-08T05:03:04.779238Z,KXEPLGAME-25NOV22BURCFC-CFC,2306eb7b-7a05-4063-994f-cd9270ab7ef6,no,0.01,2,sell_yes_cross edge=0.49,0.5,0.49,-0.98,0.99,0.01,0.99,0.01
2025-11-08T05:03:04.905612Z,KXEPLGAME-25NOV22BURCFC-TIE,a6f943e4-8c2b-4fb2-8fdb-273d933466f8,yes,0.01,2,buy_yes_cross edge=0.49,0.5,0.49,-0.98,0.99,0.01,0.99,0.01
2025-11-08T05:03:04.905855Z,KXEPLGAME-25NOV22BURCFC-TIE,8530b520-9efd-4eea-98d0-5824f59c1c53,no,0.01,2,sell_yes_cross edge=0.49,0.5,0.49,-0.98,0.99,0.01,0.99,0.01
2025-11-08T05:03:05.037667Z,KXEPLGAME-25NOV22FULSUN-FUL,220e88aa-9f7b-43aa-8606-89052c434089,yes,0.01,2,buy_yes_cross edge=0.49,0.5,0.49,-0.98,0.99,0.01,0.99,0.01
2025-11-08T05:03:05.037913Z,KXEPLGAME-25NOV22FULSUN-FUL,88e8f871-80de-4f06-a869-27df853d6f69,no,0.01,2,sell_yes_cross edge=0.49,0.5,0.49,-0.98,0.99,0.01,0.99,0.01
2025-11-08T05:03:05.195918Z,KXEPLGAME-25NOV22FULSUN-SUN,6e7466d6-4d62-419f-b343-d62f5a54aa52,yes,0.01,2,buy_yes_cross edge=0.49,0.5,0.49,-0.98,0.99,0.01,0.99,0.01
2025-11-08T05:03:05.196142Z,KXEPLGAME-25NOV22FULSUN-SUN,35fad95d-5654-4310-bc90-4d10fc0dacab,no,0.01,2,sell_yes_cross edge=0.49,0.5,0.49,-0.98,0.99,0.01,0.99,0.01
2025-11-08T05:03:05.344855Z,KXEPLGAME-25NOV22FULSUN-TIE,5a2dfdb4-cbe2-4db6-9851-c444bced210d,yes,0.01,2,buy_yes_cross edge=0.49,0.5,0.49,-0.98,0.99,0.01,0.99,0.01
2025-11-08T05:03:05.345073Z,KXEPLGAME-25NOV22FULSUN-TIE,ad921058-6e7a-4f4d-93da-f1b4c8411c1a,no,0.01,2,sell_yes_cross edge=0.49,0.5,0.49,-0.98,0.99,0.01,0.99,0.01
2025-11-08T05:03:05.454295Z,KXEPLGAME-25NOV22LFCNFO-LFC,1fe97f73-5a57-41b4-b873-bc267fa920e0,yes,0.01,2,buy_yes_cross edge=0.49,0.5,0.49,-0.98,0.99,0.01,0.99,0.01
2025-11-08T05:03:05.454533Z,KXEPLGAME-25NOV22LFCNFO-LFC,e9e9593f-9bc9-4aff-9e43-818924df8a28,no,0.01,2,sell_yes_cross edge=0.49,0.5,0.49,-0.98,0.99,0.01,0.99,0.01
2025-11-08T05:03:05.570236Z,KXEPLGAME-25NOV22LFCNFO-NFO,2e37af23-a4d6-42fa-950f-ed229f790116,yes,0.01,2,buy_yes_cross edge=0.49,0.5,0.49,-0.98,0.99,0.01,0.99,0.01
2025-11-08T05:03:05.570320Z,KXEPLGAME-25NOV22LFCNFO-NFO,3d1dba25-4a1a-46eb-bc6d-f341332bf63a,no,0.01,2,sell_yes_cross edge=0.49,0.5,0.49,-0.98,0.99,0.01,0.99,0.01
2025-11-08T05:03:05.709022Z,KXEPLGAME-25NOV22LFCNFO-TIE,70859719-5661-4d04-b372-4ff6fa1f8930,yes,0.01,2,buy_yes_cross edge=0.49,0.5,0.49,-0.98,0.99,0.01,0.99,0.01
2025-11-08T05:03:05.709272Z,KXEPLGAME-25NOV22LFCNFO-TIE,7f878e6d-0d19-4dde-8ded-079b194222e9,no,0.01,2,sell_yes_cross edge=0.49,0.5,0.49,-0.98,0.99,0.01,0.99,0.01
2025-11-08T05:03:05.831642Z,KXEPLGAME-25NOV22NEWMCI-MCI,a1b4d84f-94fe-461f-be62-e6ce12e8eab2,yes,0.01,2,buy_yes_cross edge=0.49,0.5,0.49,-0.98,0.99,0.01,0.99,0.01
2025-11-08T05:03:05.831744Z,KXEPLGAME-25NOV22NEWMCI-MCI,3b32705c-e06f-4c39-92ee-d11be15af121,no,0.01,2,sell_yes_cross edge=0.49,0.5,0.49,-0.98,0.99,0.01,0.99,0.01
2025-11-08T05:03:05.940101Z,KXEPLGAME-25NOV22NEWMCI-NEW,c25a78e5-d940-4f36-a130-145cb44cf5a1,yes,0.01,2,buy_yes_cross edge=0.49,0.5,0.49,-0.98,0.99,0.01,0.99,0.01
2025-11-08T05:03:05.940211Z,KXEPLGAME-25NOV22NEWMCI-NEW,d716338c-bba5-4dc0-8994-bb09d9a7e90f,no,0.01,2,sell_yes_cross edge=0.49,0.5,0.49,-0.98,0.99,0.01,0.99,0.01
2025-11-08T05:03:06.055034Z,KXEPLGAME-25NOV22NEWMCI-TIE,d850b094-03f7-42fa-b07a-c1ac53b6de87,yes,0.01,2,buy_yes_cross edge=0.49,0.5,0.49,-0.98,0.99,0.01,0.99,0.01
2025-11-08T05:03:06.055149Z,KXEPLGAME-25NOV22NEWMCI-TIE,5f9b5519-ecdb-407f-9c00-d3d2ac28693a,no,0.01,2,sell_yes_cross edge=0.49,0.5,0.49,-0.98,0.99,0.01,0.99,0.01
2025-11-08T05:03:06.167562Z,KXEPLGAME-25NOV22WOLCRY-CRY,e98f97fd-8d40-4f10-b60b-2186f35fb960,yes,0.01,2,buy_yes_cross edge=0.49,0.5,0.49,-0.98,0.99,0.01,0.99,0.01
2025-11-08T05:03:06.167654Z,KXEPLGAME-25NOV22WOLCRY-CRY,e5ec0b6f-9cae-4bcc-acf5-1a79f34261aa,no,0.01,2,sell_yes_cross edge=0.49,0.5,0.49,-0.98,0.99,0.01,0.99,0.01
2025-11-08T05:03:06.275231Z,KXEPLGAME-25NOV22WOLCRY-TIE,b257960b-20e5-4a9f-b9da-4d3e5937659a,yes,0.01,2,buy_yes_cross edge=0.49,0.5,0.49,-0.98,0.99,0.01,0.99,0.01
2025-11-08T05:03:06.275436Z,KXEPLGAME-25NOV22WOLCRY-TIE,e89decfc-03ed-4d51-8f56-bbcc7fadaae2,no,0.01,2,sell_yes_cross edge=0.49,0.5,0.49,-0.98,0.99,0.01,0.99,0.01
2025-11-08T05:03:06.391045Z,KXEPLGAME-25NOV22WOLCRY-WOL,397174ab-36fb-46a3-ae9a-5c383eda9696,yes,0.01,2,buy_yes_cross edge=0.49,0.5,0.49,-0.98,0.99,0.01,0.99,0.01
2025-11-08T05:03:06.391206Z,KXEPLGAME-25NOV22WOLCRY-WOL,6dd389d8-bbd2-4d77-a15d-4b7f1b223804,no,0.01,2,sell_yes_cross edge=0.49,0.5,0.49,-0.98,0.99,0.01,0.99,0.01
2025-11-08T05:03:06.502861Z,KXEPLGAME-25NOV23ARSTOT-ARS,21a0e298-336b-4aea-b621-83f6905239d2,yes,0.01,2,buy_yes_cross edge=0.49,0.5,0.49,-0.98,0.99,0.01,0.99,0.01
2025-11-08T05:03:06.503000Z,KXEPLGAME-25NOV23ARSTOT-ARS,f0a431ad-dd06-4971-b965-b4a809a31616,no,0.01,2,sell_yes_cross edge=0.49,0.5,0.49,-0.98,0.99,0.01,0.99,0.01
2025-11-08T05:03:06.623725Z,KXEPLGAME-25NOV23ARSTOT-TIE,185d348e-6684-4122-a46c-651923217fa6,yes,0.01,2,buy_yes_cross edge=0.49,0.5,0.49,-0.98,0.99,0.01,0.99,0.01
2025-11-08T05:03:06.623848Z,KXEPLGAME-25NOV23ARSTOT-TIE,4f09dc8c-9801-4e69-a249-1848c1bc52ea,no,0.01,2,sell_yes_cross edge=0.49,0.5,0.49,-0.98,0.99,0.01,0.99,0.01
2025-11-08T05:03:06.737456Z,KXEPLGAME-25NOV23ARSTOT-TOT,845baf9f-62b5-49a7-b8bd-bf968f4ea7fd,yes,0.01,2,buy_yes_cross edge=0.49,0.5,0.49,-0.98,0.99,0.01,0.99,0.01
2025-11-08T05:03:06.737589Z,KXEPLGAME-25NOV23ARSTOT-TOT,8cb15ea6-f150-45c3-96d9-7ae8cbf2678e,no,0.01,2,sell_yes_cross edge=0.49,0.5,0.49,-0.98,0.99,0.01,0.99,0.01
2025-11-08T05:03:06.847138Z,KXEPLGAME-25NOV23LEEAVL-AVL,34010e08-c395-4739-8b1b-86c25902b287,yes,0.01,2,buy_yes_cross edge=0.49,0.5,0.49,-0.98,0.99,0.01,0.99,0.01
2025-11-08T05:03:06.847266Z,KXEPLGAME-25NOV23LEEAVL-AVL,2ca8a868-c5dd-4263-9d92-8c4c35becdfb,no,0.01,2,sell_yes_cross edge=0.49,0.5,0.49,-0.98,0.99,0.01,0.99,0.01
2025-11-08T05:03:06.966958Z,KXEPLGAME-25NOV23LEEAVL-LEE,70193849-0710-403b-b652-d55aed305000,yes,0.01,2,buy_yes_cross edge=0.49,0.5,0.49,-0.98,0.99,0.01,0.99,0.01
2025-11-08T05:03:06.967119Z,KXEPLGAME-25NOV23LEEAVL-LEE,5d2da46b-c886-4dd9-b98b-4665e9c95721,no,0.01,2,sell_yes_cross edge=0.49,0.5,0.49,-0.98,0.99,0.01,0.99,0.01
