timestamp,ticker,title,status,market_type,yes_bid,yes_bid2,yes_ask,yes_ask2,no_bid,no_bid2,no_ask,no_ask2,yes_spread,no_spread,yes_depth,no_depth,liquidity_dollars,volume_24h
2025-11-07T23:17:55.014884Z,KXNCAAFGAME-25NOV15NMSUTENN-TENN,New Mexico St. at Tennessee Winner?,active,binary,0.96,0.02,0.98,0.02,0.02,0.02,0.04,0.02,0.02,0.02,43,2,839135.18,0.0
2025-11-07T23:17:55.079865Z,KXNCAAFGAME-25NOV15NMSUTENN-NMSU,New Mexico St. at Tennessee Winner?,active,binary,0.03,0.02,0.04,0.02,0.96,0.02,0.97,0.02,0.01,0.01,3,36,968499.31,117.0
2025-11-07T23:17:55.138669Z,KXNCAAFGAME-25NOV15SJSUNEV-SJSU,San Jose St. at Nevada Winner?,active,binary,0.51,0.02,0.78,0.02,0.22,0.02,0.49,0.02,0.27,0.27,31,14,986920.04,0.0
2025-11-07T23:17:55.204492Z,KXNCAAFGAME-25NOV15SJSUNEV-NEV,San Jose St. at Nevada Winner?,active,binary,0.25,0.02,0.38,0.02,0.62,0.02,0.75,0.02,0.13,0.13,25,19,983645.45,0.0
2025-11-07T23:17:55.270397Z,KXNCAAFGAME-25NOV15MTUWKU-WKU,Middle Tennessee at Western Kentucky Winner?,active,binary,0.61,0.02,0.81,0.02,0.19,0.02,0.39,0.02,0.2,0.2,32,13,932950.38,0.0
2025-11-07T23:17:55.336054Z,KXNCAAFGAME-25NOV15MTUWKU-MTU,Middle Tennessee at Western Kentucky Winner?,active,binary,0.25,0.02,0.3,0.02,0.7,0.02,0.75,0.02,0.05,0.05,25,28,958113.42,0.0
2025-11-07T23:17:55.398419Z,KXNCAAFGAME-25NOV15TNTCUK-UK,Tennessee Tech at Kentucky Winner?,active,binary,0.7,0.02,0.94,0.02,0.06,0.02,0.3,0.02,0.24,0.24,40,6,827110.16,0.0
2025-11-07T23:17:55.462881Z,KXNCAAFGAME-25NOV15TNTCUK-TNTC,Tennessee Tech at Kentucky Winner?,active,binary,0.12,0.02,0.13,0.02,0.87,0.02,0.88,0.02,0.01,0.01,12,29,828529.39,7.0
2025-11-07T23:17:55.525456Z,KXNCAAFGAME-25NOV15PSUMSU-PSU,Penn St. at Michigan St. Winner?,active,binary,0.53,0.02,0.79,0.02,0.21,0.02,0.47,0.02,0.26,0.26,36,14,1007860.49,5.0
2025-11-07T23:17:55.596709Z,KXNCAAFGAME-25NOV15PSUMSU-MSU,Penn St. at Michigan St. Winner?,active,binary,0.41,0.02,0.43,0.02,0.57,0.02,0.59,0.02,0.02,0.02,31,31,1005107.49,1640.0
2025-11-07T23:17:55.655109Z,KXNCAAFGAME-25NOV15ARKLSU-LSU,Arkansas at LSU Winner?,active,binary,0.6,0.02,0.67,0.02,0.33,0.02,0.4,0.02,0.07,0.07,38,22,1047390.02,974.0
2025-11-07T23:17:55.710825Z,KXNCAAFGAME-25NOV15ARKLSU-ARK,Arkansas at LSU Winner?,active,binary,0.25,0.02,0.42,0.02,0.58,0.02,0.75,0.02,0.17,0.17,25,28,1048182.83,0.0
2025-11-07T23:17:55.767689Z,KXNCAAFGAME-25NOV15UVADUKE-UVA,Virginia at Duke Winner?,active,binary,0.29,0.02,0.38,0.02,0.62,0.02,0.71,0.02,0.09,0.09,28,27,1075195.3,791.0
2025-11-07T23:17:55.822838Z,KXNCAAFGAME-25NOV15UVADUKE-DUKE,Virginia at Duke Winner?,active,binary,0.53,0.02,0.69,0.02,0.31,0.02,0.47,0.02,0.16,0.16,41,22,1063396.92,289.0
2025-11-07T23:17:55.892030Z,KXNCAAFGAME-25NOV15MRSHGAST-MRSH,Marshall at Georgia St. Winner?,active,binary,0.54,0.02,0.82,0.02,0.18,0.02,0.46,0.02,0.28,0.28,30,12,989009.11,0.0
2025-11-07T23:17:55.953376Z,KXNCAAFGAME-25NOV15MRSHGAST-GAST,Marshall at Georgia St. Winner?,active,binary,0.25,0.02,0.38,0.02,0.62,0.02,0.75,0.02,0.13,0.13,25,18,984533.38,0.0
2025-11-07T23:17:56.015052Z,KXNCAAFGAME-25NOV15WYOFRES-WYO,Wyoming at Fresno St. Winner?,active,binary,0.25,0.02,0.49,0.02,0.51,0.02,0.75,0.02,0.24,0.24,25,20,963123.84,0.0
2025-11-07T23:17:56.077124Z,KXNCAAFGAME-25NOV15WYOFRES-FRES,Wyoming at Fresno St. Winner?,active,binary,0.51,0.02,0.69,0.02,0.31,0.02,0.49,0.02,0.18,0.18,31,17,963285.41,0.0
