timestamp,ticker,title,status,market_type,event_start_time,yes_bid,yes_ask,no_bid,no_ask,liquidity_dollars,volume_24h
2026-01-12T18:22:02.986475-05:00,KXNFLSPREAD-26JAN12HOUPIT-HOU3,Houston wins by over 3.5 points?,active,binary,,0.43,0.44,,,,
2026-01-12T18:22:02.986564-05:00,KXNFLTOTAL-26JAN12HOUPIT-42,Houston at Pittsburgh: Total Points,active,binary,,0.37,0.38,,,,
2026-01-12T18:22:02.986651-05:00,KXNCAAMBTOTAL-26JAN12NCCUMORG-145,North Carolina Central at Morgan St.: Total Points,active,binary,,0.41,0.42,,,,
2026-01-12T18:22:02.986720-05:00,KXNCAAMBTOTAL-26JAN12NAVYAMER-141,Navy at American: Total Points,active,binary,,0.47,0.49,,,,
2026-01-12T18:22:02.986777-05:00,KXNCAAMBGAME-26JAN12UTRGVNWST-NWST,UT Rio Grande Valley at Northwestern St. Winner?,active,binary,,0.42,0.43,,,,
2026-01-12T18:22:02.986959-05:00,KXNCAAMBGAME-26JAN12UTRGVNWST-UTRGV,UT Rio Grande Valley at Northwestern St. Winner?,active,binary,,0.57,0.59,,,,
2026-01-12T18:22:02.987039-05:00,KXNBAGAME-26JAN12PHITOR-PHI,Philadelphia at Toronto Winner?,active,binary,,0.57,0.58,,,,
2026-01-12T18:22:02.987137-05:00,KXNCAAMBSPREAD-26JAN12NCCUMORG-NCCU4,North Carolina Central wins by over 4.5 Points?,active,binary,,0.42,0.45,,,,
2026-01-12T18:22:02.987196-05:00,KXNFLGAME-26JAN12HOUPIT-HOU,Houston at Pittsburgh Winner?,active,binary,,0.59,0.6,,,,
2026-01-12T18:22:02.987241-05:00,KXNFLSPREAD-26JAN12HOUPIT-HOU2,Houston wins by over 2.5 points?,active,binary,,0.53,0.54,,,,
2026-01-12T18:22:02.987315-05:00,KXNCAAMBGAME-26JAN12SCSTCOPP-SCST,South Carolina St. at Coppin St. Winner?,active,binary,,0.52,0.54,,,,
2026-01-12T18:22:02.987361-05:00,KXNCAAMBGAME-26JAN12SCSTCOPP-COPP,South Carolina St. at Coppin St. Winner?,active,binary,,0.47,0.48,,,,
2026-01-12T18:22:02.987409-05:00,KXNFLGAME-26JAN12HOUPIT-PIT,Houston at Pittsburgh Winner?,active,binary,,0.41,0.42,,,,
2026-01-12T18:22:02.987463-05:00,KXNBAGAME-26JAN12LALSAC-LAL,Los Angeles L at Sacramento Winner?,active,binary,,0.76,0.77,,,,
2026-01-12T18:22:02.987514-05:00,KXNBAGAME-26JAN12LALSAC-SAC,Los Angeles L at Sacramento Winner?,active,binary,,0.24,0.25,,,,
2026-01-12T18:22:02.987609-05:00,KXNCAAMBSPREAD-26JAN12SCSTCOPP-SCST1,South Carolina St. wins by over 1.5 Points?,active,binary,,0.48,0.49,,,,
2026-01-12T18:22:03.953502-05:00,KXNBASPREAD-26JAN12BOSIND-IND6,Indiana wins by over 6.5 Points?,active,binary,,0.2,0.24,,,,
